Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-recognition,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共识别
Protein,Transthyretin,prevents,Pathological_Change,Aβ aggregation,转甲状腺素蛋白防止β-淀粉样蛋白聚集
Protein,TTR,is_reduced_in,Pathological_Change,3xTg-AD mouse model,TTR蛋白在3xTg-AD小鼠模型中减少
Protein,TTR,is_increased_in,Pathological_Change,bronchoalveolar lavage fluid,TTR蛋白在支气管肺泡灌洗液中增加
<Protein,TTR,regulates,Protein,IGF-I receptor,TTR调节海马中胰岛素样生长因子I（IGF-I）受体水平>
Protein,Transthyretin,interacts_with,Protein,amyloid-beta,转甲状腺素蛋白与β-淀粉样蛋白相互作用
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-precipitation,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共沉淀
Disease,Alzheimer's disease,affects,Brain_Region,brain,阿尔茨海默病会影响大脑
Protein,TTR,enhances,Pathological_Change,endothelial cell functions,TTR蛋白增强内皮细胞功能
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-amelioration,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共改善
<Protein,TTR,enhanced_by,Protein,HSF1,热休克因子1（HSF1）显著增强TTR在海马中的表达>
Protein,TTR,affects,Pathological_Change,cell migration,TTR蛋白影响细胞迁移
Protein,Transthyretin,is_synthesized_by,Brain_Region,choroid plexus,转甲状腺素蛋白主要由脉络丛合成
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element interaction,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的相互作用
Protein,TTR,promotes,Pathological_Change,Aβ clearance,TTR蛋白促进淀粉样蛋白清除
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)的识别
Protein,TTR,is_increased_in,Pathological_Change,lung cancer,TTR蛋白在肺癌中增加
<Treatment,iododiflunisal,improves,Clinical_Manifestation,cognitive function,IDIF改善AD转基因小鼠模型的认知功能>
Protein,TTR,is_reduced_in,Pathological_Change,choroid plexus capillaries,TTR蛋白在脉络丛毛细血管中减少
Protein,TTR,is_increased_in,Pathological_Change,alveolar type II epithelial cells,TTR蛋白在肺泡II型上皮细胞中增加
Protein,TTR,is_increased_in,Pathological_Change,alveolar myeloid cells,TTR蛋白在肺泡髓系细胞中增加
Protein,TTR,is_reduced_in,Pathological_Change,epithelial basal membrane,TTR蛋白在上皮基底膜中减少
<Protein,TTR,inhibits,Protein,amyloid-beta,TTR抑制Aβ肽的聚集>
<Protein,TTR,modulates,Protein,LRP1,TTR可能调节LRP1受体的表达>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-stabilization,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共稳定
Protein,TTR,regulates,Protein,LRP1,TTR蛋白调节LRP1蛋白水平
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-protection,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共保护
Protein,Transthyretin,has_mutation,Gene,V30M,V30M基因突变与转甲状腺素蛋白相关
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ oligomerization,转甲状腺素蛋白参与β-淀粉样蛋白寡聚化
Protein,TTR,is_reduced_in,Pathological_Change,Aβ deposition,TTR蛋白在淀粉样蛋白沉积中减少
Protein,TTR,is_reduced_in,Pathological_Change,AD animals,TTR蛋白在AD动物中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-assembly,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共组装
Protein,TTR,enhances,Pathological_Change,neuroprotection,TTR蛋白增强神经保护作用
<Protein,TTR,binds_to,Protein,CTFβ,TTR与CTFβ片段结合，防止γ-分泌酶切割并释放Aβ肽>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-formation,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共形成
Protein,TTR,enhances,Pathological_Change,cell permeability,TTR蛋白增强细胞通透性
<Protein,TTR,decreases_with,Disease,Alzheimer's disease,TTR水平随阿尔茨海默病进展而降低>
Protein,Transthyretin,transports,Protein,thyroxine,转甲状腺素蛋白运输甲状腺素
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ binding domain interaction,转甲状腺素蛋白参与β-淀粉样蛋白结合域的相互作用
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(38-42) region interaction,转甲状腺素蛋白参与β-淀粉样蛋白(38-42)区域的相互作用
Protein,Transthyretin,decreases_in,Disease,Alzheimer's disease,阿尔茨海默病患者中转甲状腺素蛋白水平降低
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-rescue,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共拯救
Protein,Transthyretin,is_associated_with,Disease,familial amyloid polyneuropathy,转甲状腺素蛋白与家族性淀粉样多发性神经病相关
Protein,TTR,is_reduced_in,Pathological_Change,AβPPswe/PS1A246E AD mouse model,TTR蛋白在AβPPswe/PS1A246E AD小鼠模型中减少
<Gene,APP,regulates,Protein,TTR,APP细胞内结构域（AICD）片段在脑中表观遗传调控TTR>
<Protein,TTR,regulates,Protein,APP,TTR调节APP的代谢>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(30-60) region interaction,转甲状腺素蛋白参与β-淀粉样蛋白(30-60)区域的相互作用
Protein,TTR,is_reduced_in,Pathological_Change,AD mice carrying both copies of TTR gene,TTR蛋白在携带两个TTR基因拷贝的AD小鼠中减少
Protein,TTR,affects,Pathological_Change,tube formation,TTR蛋白影响管状结构形成
Protein,Transthyretin,is_involved_in,Pathological_Change,hydrophobic T4-binding site interaction,转甲状腺素蛋白参与疏水性T4结合位点的相互作用
Protein,TTR,induces,Pathological_Change,apoptosis,TTR蛋白诱导细胞凋亡
Protein,Transthyretin,is_involved_in,Pathological_Change,amorphous precipitate formation,转甲状腺素蛋白参与无定形沉淀物的形成
<Brain_Region,hippocampus,produces,Protein,TTR,海马神经元能够产生TTR蛋白>
Protein,TTR,is_reduced_in,Pathological_Change,basement membrane thickening,TTR蛋白在基底膜增厚中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-interaction,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共相互作用
Disease,Alzheimer's disease,has_biomarker,Biomarker,amyloid-beta,阿尔茨海默病的主要生物标志物是β-淀粉样蛋白
Protein,Transthyretin,has_role_in,Disease,Alzheimer's disease,转甲状腺素蛋白在阿尔茨海默病中具有神经保护作用
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-sequestration,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共隔离
Protein,TTR,is_reduced_in,Pathological_Change,AD animals without TTR,TTR蛋白在没有TTR的AD动物中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element binding,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的结合
Protein,TTR,binds_to,Protein,amyloid-beta,TTR蛋白与淀粉样蛋白结合
Protein,TTR,is_increased_in,Pathological_Change,serum,TTR蛋白在血清中增加
<Protein,TTR,interacts_with,Protein,δ-GABA A receptors,TTR与δ-GABA A受体相互作用，调节其表达和功能>
<Protein,TTR,stabilized_by,Treatment,iododiflunisal,碘二氟尼柳（IDIF）等化合物作为TTR四聚体稳定剂>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-modulation,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共调节
<Disease,MCI,has_biomarker,Protein,TTR,轻度认知障碍（MCI）患者TTR水平较低>
Protein,TTR,is_reduced_in,Pathological_Change,AD mice,TTR蛋白在AD小鼠中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,fibril disruption,转甲状腺素蛋白参与纤维破坏
Protein,Transthyretin,is_involved_in,Pathological_Change,neuroprotection,转甲状腺素蛋白参与神经保护
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-deposition,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共沉积
Protein,TTR,is_reduced_in,Pathological_Change,AD development,TTR蛋白在AD发展中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-neutralization,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共中和
Protein,Transthyretin,is_involved_in,Pathological_Change,EF helix and loop conformational changes,转甲状腺素蛋白参与EF螺旋和环的构象变化
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-inhibition,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共抑制
Protein,Transthyretin,has_mutation,Gene,L55P,L55P基因突变与转甲状腺素蛋白相关
<Disease,Alzheimer's disease,interacts_with,Protein,TTR,TTR与Aβ肽直接相互作用，抑制Aβ聚集>
Protein,TTR,is_reduced_in,Pathological_Change,AD mice carrying only one copy of TTR gene,TTR蛋白在仅携带一个TTR基因拷贝的AD小鼠中减少
Protein,TTR,represses,Pathological_Change,angiogenesis,TTR蛋白抑制血管生成
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-suppression,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共抑制
